上海电信,#genre#
东南卫视,http://124.79.52.158:4022/udp/239.45.3.227:5140#http://116.229.55.128:4022/udp/239.45.3.227:5140#http://101.83.128.184:4022/udp/239.45.3.227:5140
兵团卫视,http://124.79.52.158:4022/udp/239.45.3.143:5140#http://116.229.55.128:4022/udp/239.45.3.143:5140#http://101.83.128.184:4022/udp/239.45.3.143:5140
北京卫视,http://124.79.52.158:4022/udp/239.45.3.109:5140#http://116.229.55.128:4022/udp/239.45.3.109:5140#http://101.83.128.184:4022/udp/239.45.3.109:5140
云南卫视,http://124.79.52.158:4022/udp/239.45.3.180:5140#http://116.229.55.128:4022/udp/239.45.3.180:5140#http://101.83.128.184:4022/udp/239.45.3.180:5140
东方卫视,http://124.79.52.158:4022/udp/239.45.3.21:5140#http://116.229.55.128:4022/udp/239.45.3.21:5140#http://101.83.128.184:4022/udp/239.45.3.21:5140
广东卫视,http://124.79.52.158:4022/udp/239.45.3.65:5140#http://116.229.55.128:4022/udp/239.45.3.65:5140#http://101.83.128.184:4022/udp/239.45.3.65:5140
重庆卫视,http://124.79.52.158:4022/udp/239.45.1.240:5140#http://116.229.55.128:4022/udp/239.45.1.240:5140#http://101.83.128.184:4022/udp/239.45.1.240:5140
康巴卫视,http://124.79.52.158:4022/udp/239.45.1.251:5140#http://116.229.55.128:4022/udp/239.45.1.251:5140#http://101.83.128.184:4022/udp/239.45.1.251:5140
其他,#genre#
新闻综合HD,http://124.79.52.158:4022/udp/239.45.3.209:5140#http://116.229.55.128:4022/udp/239.45.3.209:5140#http://101.83.128.184:4022/udp/239.45.3.209:5140
五星体育HD,http://124.79.52.158:4022/udp/239.45.3.210:5140#http://116.229.55.128:4022/udp/239.45.3.210:5140#http://101.83.128.184:4022/udp/239.45.3.210:5140
第一财经HD,http://124.79.52.158:4022/udp/239.45.3.211:5140#http://116.229.55.128:4022/udp/239.45.3.211:5140#http://101.83.128.184:4022/udp/239.45.3.211:5140
纪实人文HD,http://124.79.52.158:4022/udp/239.45.3.212:5140#http://116.229.55.128:4022/udp/239.45.3.212:5140#http://101.83.128.184:4022/udp/239.45.3.212:5140
东方卫视,http://124.79.52.158:4022/udp/239.45.3.242:5140#http://116.229.55.128:4022/udp/239.45.3.242:5140#http://101.83.128.184:4022/udp/239.45.3.242:5140
东方卫视,http://124.79.52.158:4022/udp/239.45.3.240:5140#http://116.229.55.128:4022/udp/239.45.3.240:5140#http://101.83.128.184:4022/udp/239.45.3.240:5140
新闻综合,http://124.79.52.158:4022/udp/239.45.3.241:5140#http://116.229.55.128:4022/udp/239.45.3.241:5140#http://101.83.128.184:4022/udp/239.45.3.241:5140
东方影视HD,http://124.79.52.158:4022/udp/239.45.3.237:5140#http://116.229.55.128:4022/udp/239.45.3.237:5140#http://101.83.128.184:4022/udp/239.45.3.237:5140
东方财经HD,http://124.79.52.158:4022/udp/239.45.0.17:5140#http://116.229.55.128:4022/udp/239.45.0.17:5140#http://101.83.128.184:4022/udp/239.45.0.17:5140
第一财经,http://124.79.52.158:4022/udp/239.45.3.111:5140#http://116.229.55.128:4022/udp/239.45.3.111:5140#http://101.83.128.184:4022/udp/239.45.3.111:5140
